elevation,catchment,glacier,ice_free
3850,259200,259200,0
3950,1142100,918900,223200
4050,1912500,862200,1050300
4150,2233800,918000,1315800
4250,2542500,1152900,1389600
4350,4259700,2174400,2085300
4450,5306400,2646000,2660400
4550,6241500,2695500,3546000
4650,6501600,2526300,3975300
4750,5631300,1688400,3942900
4850,4859100,1234800,3624300
4950,4584600,981900,3602700
5050,3712500,540900,3171600
5150,3507300,296100,3211200
5250,3161700,315900,2845800
5350,3060000,321300,2738700
5450,3089700,371700,2718000
5550,2724300,170100,2554200
5650,2227500,104400,2123100
5750,1736100,117000,1619100
5850,1456200,113400,1342800
5950,1211400,99900,1111500
6050,940500,72900,867600
6150,775800,23400,752400
6250,434700,0,434700
6350,377100,0,377100
6450,252000,0,252000
6550,186300,0,186300
6650,148500,0,148500
6750,131400,0,131400
6850,125100,0,125100
6950,86400,0,86400
7050,57600,0,57600
